Datetime,Electricity_Usage,Switch_State
7344,39.51865970235833,Switch OFF
7345,26.036848244400062,Switch ON
7346,37.39404095868574,Switch OFF
7347,24.2616969963518,Switch ON
7348,36.22713371452815,No Change
7349,39.82409995576416,Switch OFF
7350,24.090795384599758,Switch ON
7351,37.61858928991457,Switch OFF
7352,34.00115761497912,Switch ON
7353,36.27718331376293,Switch OFF
7354,30.94066992819098,No Change
7355,29.08451126494744,No Change
7356,27.500153413960447,Switch ON
7357,29.681973072962528,No Change
7358,37.883183434192745,Switch OFF
7359,23.754614501606,Switch ON
7360,36.35795588042649,No Change
7361,85.86086423966013,Switch OFF
7362,76.10184075619529,Switch ON
7363,85.24170614680536,Switch OFF
7364,79.62982011256415,Switch ON
7365,83.07524877973025,Switch OFF
7366,81.47540792112677,No Change
7367,80.96011920668506,No Change
7368,19.662706625906054,Switch ON
7369,32.59345356883393,Switch OFF
7370,26.712816677894132,No Change
7371,26.185745624812572,Switch ON
7372,26.362898384521326,No Change
7373,33.315914766778775,Switch OFF
7374,20.881638073087473,Switch ON
7375,36.32230510421578,Switch OFF
7376,24.849163630683222,Switch ON
7377,25.184831981722954,No Change
7378,35.356247417663354,Switch OFF
7379,30.620517692522238,No Change
7380,26.472812775160435,No Change
7381,24.114530095845783,No Change
7382,21.835496600232062,Switch ON
7383,31.159575776902344,No Change
7384,32.8363920772825,No Change
7385,80.35124891695258,No Change
7386,80.63238853757737,Switch OFF
7387,77.83493718386707,Switch ON
7388,84.43311541039921,Switch OFF
7389,77.16374045865062,Switch ON
7390,77.70181527119176,Switch OFF
7391,74.03336727371291,No Change
7392,34.75055515400739,No Change
7393,25.26369148283625,No Change
7394,25.07835509113574,No Change
7395,20.29535656442158,Switch ON
7396,34.99423542208332,Switch OFF
7397,28.968328966282893,Switch ON
7398,35.94704449509099,No Change
7399,38.52435801927034,No Change
7400,42.58076679189538,Switch OFF
7401,22.192762403336282,Switch ON
7402,30.902851354689695,No Change
7403,38.43150129934272,No Change
7404,39.97453648385183,Switch OFF
7405,31.29611421505022,Switch ON
7406,32.69369503045441,Switch OFF
7407,25.032246352607945,Switch ON
7408,32.381699628446135,No Change
7409,85.40253285551121,Switch OFF
7410,77.59134256031565,Switch ON
7411,78.91473396147236,No Change
7412,82.39369699003052,No Change
7413,83.79022449310537,No Change
7414,89.193272425137,No Change
7415,90.59692518362588,Switch OFF
7416,24.262310478192454,Switch ON
7417,30.7148028901072,Switch OFF
7418,29.156286114167134,Switch ON
7419,30.674929618248257,Switch OFF
7420,25.32908584320225,Switch ON
7421,33.20304873354857,Switch OFF
7422,21.494626826990785,Switch ON
7423,28.426214967191708,No Change
7424,32.91766519653783,Switch OFF
7425,30.808276520346173,No Change
7426,30.3624667540874,Switch ON
7427,38.55454880923152,Switch OFF
7428,32.568082954081056,Switch ON
7429,34.15969791821545,Switch OFF
7430,24.053784904765838,Switch ON
7431,26.8791491209982,No Change
7432,28.853368432358323,No Change
7433,84.25331182297796,No Change
