Datetime,Electricity_Usage,Switch_State
7344,27.51664094881583,Switch OFF
7345,20.49408019000548,Switch ON
7346,24.649298729611406,No Change
7347,30.171219475002626,No Change
7348,36.85708099064457,Switch OFF
7349,35.38093490381664,No Change
7350,26.64934210457531,Switch ON
7351,33.45208782705015,Switch OFF
7352,26.591242468322598,Switch ON
7353,27.603858889202,No Change
7354,30.121576884117516,No Change
7355,33.98701314653448,Switch OFF
7356,27.63789994985765,No Change
7357,25.447482866146164,Switch ON
7358,31.27323907313477,Switch OFF
7359,26.53875913588862,Switch ON
7360,26.595818144242564,No Change
7361,80.61147879164282,No Change
7362,80.70573014374881,Switch OFF
7363,80.34108850707318,No Change
7364,79.23905019645373,No Change
7365,76.18175339684747,Switch ON
7366,84.9864918659697,Switch OFF
7367,77.74614899087116,No Change
7368,21.720241950295627,Switch ON
7369,30.928319653849,Switch OFF
7370,23.826618467443424,Switch ON
7371,25.575962055780074,No Change
7372,38.4857292945439,Switch OFF
7373,23.591524439281475,No Change
7374,23.531659180292827,Switch ON
7375,30.40225555789,No Change
7376,39.887770379160386,Switch OFF
7377,35.725569325846294,No Change
7378,22.461906641243537,Switch ON
7379,25.383957945508055,No Change
7380,35.20414503446616,Switch OFF
7381,26.264001638776115,Switch ON
7382,35.28603514281832,Switch OFF
7383,29.746625363489795,No Change
7384,28.81198923844743,Switch ON
7385,76.32621543442926,No Change
7386,85.45127012830768,Switch OFF
7387,80.92795712293669,No Change
7388,80.34474803137803,Switch ON
7389,81.75522154390737,Switch OFF
7390,80.81786447688478,No Change
7391,70.57078461208746,No Change
7392,32.20756118638997,No Change
7393,31.83771501426882,Switch ON
7394,40.31478416615027,Switch OFF
7395,39.09134233519427,No Change
7396,23.33488504251158,Switch ON
7397,39.598315065503705,Switch OFF
7398,26.665393871750762,Switch ON
7399,29.801575987822048,No Change
7400,34.69914078346142,No Change
7401,37.898227015915076,Switch OFF
7402,33.72729696414968,Switch ON
7403,40.683917800348276,Switch OFF
7404,28.61020617027552,No Change
7405,23.86938957076008,Switch ON
7406,37.27022518539015,Switch OFF
7407,20.987740103482047,Switch ON
7408,27.928483013857285,No Change
7409,83.40282639142734,No Change
7410,86.28139356564269,Switch OFF
7411,81.43411273069061,Switch ON
7412,84.8430368124571,No Change
7413,85.99968876155462,No Change
7414,88.13565010763895,No Change
7415,95.16671559096994,Switch OFF
7416,32.23502531794656,No Change
7417,30.25167064267407,Switch ON
7418,32.2885409494825,No Change
7419,40.13959926287937,Switch OFF
7420,33.66932739403432,No Change
7421,32.062058803443946,No Change
7422,29.42318700114632,No Change
7423,27.966330942384086,Switch ON
7424,28.555472211716882,No Change
7425,35.410080327954,Switch OFF
7426,22.133014353822247,Switch ON
7427,28.685065554544927,Switch OFF
7428,28.07749679885736,No Change
7429,21.682937566889294,Switch ON
7430,24.712862086849643,No Change
7431,35.88327905441704,Switch OFF
7432,32.94124614165535,Switch ON
7433,91.34266607625796,Switch OFF
7434,90.14439845545635,No Change
7435,77.33595954271343,Switch ON
7436,82.23840138311657,No Change
7437,83.37585758350816,No Change
7438,84.00519985996966,No Change
7439,84.95502793164862,Switch OFF
7440,28.698763977641757,No Change
7441,28.360334127115912,No Change
7442,21.478921259008366,Switch ON
7443,35.31052307451325,Switch OFF
7444,31.432746358531812,No Change
7445,29.679429394902897,Switch ON
7446,30.892288018983617,Switch OFF
7447,30.85763324361931,No Change
7448,27.831140400776473,Switch ON
7449,33.65460335062835,Switch OFF
7450,29.799589325807965,Switch ON
7451,40.12053958378843,Switch OFF
7452,25.63244236820836,No Change
7453,24.2987347129582,Switch ON
7454,35.364580012519205,Switch OFF
7455,27.94033126511001,Switch ON
7456,30.709671555953687,No Change
7457,85.43280744648321,No Change
7458,98.93568386615814,Switch OFF
7459,84.61502110588955,Switch ON
7460,86.86237215796878,No Change
7461,92.52124052330466,Switch OFF
7462,86.75393564363758,Switch ON
7463,90.5095719287087,Switch OFF
7464,36.500360100417595,Switch ON
7465,41.289762562708205,Switch OFF
7466,33.37119385205392,No Change
7467,27.603666469824695,Switch ON
7468,31.854977958214374,Switch OFF
7469,30.861429500435733,Switch ON
7470,38.06055820690942,Switch OFF
7471,28.303793808240194,No Change
7472,17.15300736539173,Switch ON
7473,25.529151684642873,No Change
7474,38.57445527607219,Switch OFF
7475,33.71105580849124,No Change
7476,22.263823342558894,Switch ON
7477,25.68993160746959,Switch OFF
7478,18.60395671315919,Switch ON
7479,27.946407419284373,Switch OFF
7480,22.725921519328573,Switch ON
7481,84.07424019394253,Switch OFF
7482,82.9404893114805,No Change
7483,82.64076784254176,No Change
7484,82.01249939280254,Switch ON
7485,83.0546098536099,No Change
7486,84.2741085126718,Switch OFF
7487,82.52178623930162,No Change
7488,39.0307618716115,Switch ON
7489,43.30843802648866,Switch OFF
7490,36.26945810268017,No Change
7491,35.240439299190434,No Change
7492,34.201657609125306,Switch ON
7493,35.24769740594033,Switch OFF
7494,23.35840605506169,No Change
7495,23.242864575142107,No Change
7496,22.50524277622822,Switch ON
7497,34.9265066033276,Switch OFF
7498,31.878800983758154,No Change
7499,30.2465048014124,No Change
7500,29.670176071238192,Switch ON
7501,35.005618468763245,Switch OFF
7502,29.44520815005992,Switch ON
7503,42.15945127275132,Switch OFF
7504,31.76729976560396,Switch ON
7505,81.8042323593266,No Change
7506,84.5493344395693,Switch OFF
7507,77.10796587865399,Switch ON
7508,88.12630429203175,Switch OFF
7509,83.18891220851246,Switch ON
7510,93.19383774070634,Switch OFF
7511,82.3325318917354,No Change
7512,18.908071252404696,Switch ON
7513,28.756289804586302,No Change
7514,37.249772789935996,Switch OFF
7515,23.289360633913432,Switch ON
7516,32.06596087697626,Switch OFF
7517,25.85032409651768,Switch ON
7518,39.08707262169088,Switch OFF
7519,38.05350195071044,No Change
7520,33.25010794393172,No Change
7521,27.641288372446,Switch ON
7522,34.06758049356948,Switch OFF
7523,33.5822853111305,No Change
7524,24.760387003289985,Switch ON
7525,34.41975615587689,Switch OFF
7526,23.726086783150013,No Change
7527,21.60280995694756,Switch ON
7528,28.244750079976964,No Change
7529,84.8132545188424,No Change
7530,90.4758998030027,Switch OFF
7531,87.75414321939307,Switch ON
7532,91.33210590076888,Switch OFF
7533,81.47654314236983,Switch ON
7534,93.91192154205109,Switch OFF
7535,90.86673444656691,No Change
7536,24.24498675814641,No Change
7537,20.18579871573629,Switch ON
7538,25.181608913460828,No Change
7539,26.75053413427512,No Change
7540,27.87012337619793,Switch OFF
7541,21.449398626781594,No Change
7542,18.920757129244926,Switch ON
7543,32.41046044708894,No Change
7544,59.99715596616204,Switch OFF
7545,56.683832088890924,Switch ON
7546,58.28585219684285,No Change
7547,61.3690493495961,Switch OFF
7548,28.18529921490935,Switch ON
7549,36.89829956062826,Switch OFF
7550,26.088070252798016,Switch ON
7551,32.699193850186596,No Change
7552,39.47204544263123,No Change
7553,83.03591372685281,Switch OFF
7554,79.8355152117279,Switch ON
7555,83.37775189145017,No Change
7556,93.83283181840712,Switch OFF
7557,87.5660955597669,No Change
7558,80.97333807816607,Switch ON
7559,85.12252551896495,Switch OFF
7560,25.72423906053744,Switch ON
7561,28.622811222601715,No Change
7562,28.785010723235693,Switch OFF
7563,24.63483935453887,Switch ON
7564,29.978892138065824,Switch OFF
7565,26.933712043729482,Switch ON
7566,35.6823234734184,Switch OFF
7567,28.56605447004341,No Change
7568,24.56274735436435,Switch ON
7569,38.498157186961684,No Change
7570,40.2725174187179,Switch OFF
7571,24.990393611826423,Switch ON
7572,35.16978099243226,Switch OFF
7573,23.912728999693172,Switch ON
7574,29.392816512390716,No Change
7575,38.26298336628381,Switch OFF
7576,28.34594481587365,Switch ON
7577,86.46853156915058,No Change
7578,89.26349248079077,Switch OFF
7579,85.71768522344641,No Change
7580,78.40741600423358,Switch ON
7581,87.13572254850776,Switch OFF
7582,85.57892396922375,Switch ON
7583,87.56845857224431,Switch OFF
7584,34.143354189316824,No Change
7585,27.97566885377825,Switch ON
7586,34.27795153018579,Switch OFF
7587,29.843904836520487,Switch ON
7588,32.66563448438182,No Change
7589,32.98648705852841,Switch OFF
7590,30.341937085046233,No Change
7591,18.152088097195126,Switch ON
7592,20.59103618288932,No Change
7593,27.813017931698184,Switch OFF
7594,27.02561744520041,No Change
7595,24.188713952382777,No Change
7596,21.200459934395635,Switch ON
7597,31.856966053040875,Switch OFF
7598,25.094827028358473,Switch ON
7599,33.258409788823634,Switch OFF
7600,30.030955663458847,Switch ON
7601,99.07873272514212,Switch OFF
7602,87.25589405940536,No Change
7603,73.99020706393834,Switch ON
7604,78.29369197691024,No Change
7605,82.64892261498603,Switch OFF
7606,82.64228984517119,No Change
7607,81.61854094526228,No Change
7608,34.15471121484976,No Change
7609,29.296345473724397,Switch ON
7610,30.300669756666544,No Change
7611,38.81930823334524,Switch OFF
7612,27.81897984448498,Switch ON
7613,33.168838120496964,No Change
7614,33.799385880545294,No Change
7615,38.89199438608362,Switch OFF
7616,27.912383946496703,Switch ON
7617,29.074351583477604,No Change
7618,33.96016885374163,Switch OFF
7619,27.955697720440096,No Change
7620,22.65788458384445,No Change
7621,20.0283609774591,Switch ON
7622,33.22412561130905,Switch OFF
7623,21.61652535355659,Switch ON
7624,35.59660488495338,No Change
7625,98.79304120945547,Switch OFF
7626,87.47807129786528,Switch ON
7627,92.69241712481318,Switch OFF
7628,81.7804939553569,Switch ON
7629,92.36660019026985,No Change
7630,92.39863834122625,Switch OFF
7631,85.04688501152951,No Change
7632,24.06113262744174,Switch ON
7633,28.432520549337312,No Change
7634,28.709268985440534,No Change
7635,34.11488744948627,Switch OFF
7636,27.933755430599604,Switch ON
7637,28.928864871328805,Switch OFF
7638,21.105792092564123,Switch ON
7639,27.977172172107153,Switch OFF
7640,27.581079304931592,Switch ON
7641,31.598678633913277,Switch OFF
7642,31.431496105148554,No Change
7643,29.758524295037205,Switch ON
7644,33.26369820630377,Switch OFF
7645,31.357082182856317,No Change
7646,26.477403185667868,Switch ON
7647,31.999538632152557,Switch OFF
7648,30.088367572850775,Switch ON
7649,88.62686827016996,Switch OFF
7650,84.08627747820725,Switch ON
7651,89.36005132644074,Switch OFF
7652,80.0692217166134,Switch ON
7653,85.49978338041485,Switch OFF
7654,83.162879774467,Switch ON
7655,87.81905689638224,Switch OFF
7656,24.240690564723703,Switch ON
7657,31.346072571919663,Switch OFF
7658,28.967102087495622,Switch ON
7659,30.36764215949198,Switch OFF
7660,28.897747670244403,No Change
7661,22.062763712399896,Switch ON
7662,30.496903441165955,Switch OFF
7663,24.521518917184892,No Change
7664,21.039131631085272,Switch ON
7665,30.824281525913694,No Change
7666,32.438234331701274,Switch OFF
7667,31.9223323633137,Switch ON
7668,33.443833905067635,Switch OFF
7669,32.40236460343999,Switch ON
7670,34.251932198763974,No Change
7671,38.46080796082093,Switch OFF
7672,37.04476058985125,Switch ON
7673,95.09399983246576,Switch OFF
7674,84.55456063181923,Switch ON
7675,92.54667394676889,Switch OFF
7676,85.22542821229882,Switch ON
7677,94.75605620428938,No Change
7678,94.93308469005491,Switch OFF
7679,86.53904991240476,No Change
7680,19.364711938971766,Switch ON
7681,37.79960208917229,Switch OFF
7682,25.19999099212706,Switch ON
7683,30.44813079217943,Switch OFF
7684,27.881294726054353,Switch ON
7685,39.51988682378844,Switch OFF
7686,30.697507134690433,Switch ON
7687,39.39822115742746,No Change
7688,41.33089133555047,Switch OFF
7689,32.57547801799795,Switch ON
7690,36.20515026182292,Switch OFF
7691,28.42020474531028,No Change
7692,22.314492262245274,Switch ON
7693,28.12559737113687,Switch OFF
7694,25.46453770842955,Switch ON
7695,36.919594904065846,Switch OFF
7696,20.538351675671176,Switch ON
7697,80.20120873033608,Switch OFF
7698,80.11206972609877,No Change
7699,79.69189671384797,Switch ON
7700,86.03897938530037,Switch OFF
7701,81.60399913999814,Switch ON
7702,82.99595263013529,No Change
7703,90.1693354373414,Switch OFF
7704,31.087549250465973,Switch ON
7705,34.238729818595395,No Change
7706,34.83944310881799,Switch OFF
7707,30.742283382185335,Switch ON
7708,33.46993860274294,Switch OFF
7709,28.78765339682538,Switch ON
7710,38.39828889676014,Switch OFF
7711,25.19562237518669,Switch ON
7712,33.777756757348584,No Change
7713,34.58428389478297,Switch OFF
7714,28.712412879183677,No Change
7715,22.218852079878843,Switch ON
7716,34.080613545539116,Switch OFF
7717,29.41202740191519,No Change
7718,27.159298157983,Switch ON
7719,29.959004413452032,No Change
7720,36.737273393087186,No Change
7721,90.31876386871518,Switch OFF
7722,82.32750510931427,Switch ON
7723,86.24013498487797,Switch OFF
