Datetime,Gas_Usage,Switch_State
7344,65.81315523295908,Switch ON
7345,70.9257889903446,Switch OFF
7346,64.32299981589227,No Change
7347,55.67369755276089,Switch ON
7348,72.6480898721056,No Change
7349,115.13233803078023,No Change
7350,135.40574691646003,Switch OFF
7351,133.21964535053377,No Change
7352,61.20368612887601,Switch ON
7353,64.94386326091819,Switch OFF
7354,64.55020756512502,Switch ON
7355,71.76436920782916,Switch OFF
7356,63.6227162785636,Switch ON
7357,67.69007076765436,No Change
7358,74.74146484529086,Switch OFF
7359,60.366581165458484,Switch ON
7360,70.41276204578317,No Change
7361,184.4448699382743,Switch OFF
7362,180.54145851260827,Switch ON
7363,183.67554221030824,Switch OFF
7364,180.25704251290261,No Change
7365,175.94732659146922,No Change
7366,170.72435459000317,Switch ON
7367,175.57189469036234,Switch OFF
7368,71.03739109815658,Switch ON
7369,73.87764172198771,Switch OFF
7370,68.64410349816154,Switch ON
7371,72.82364906648382,Switch OFF
7372,62.96979115952852,Switch ON
7373,119.57201574251182,No Change
7374,139.79860781765103,No Change
7375,149.51943812071886,Switch OFF
7376,87.32808407301468,No Change
7377,75.62082478893129,Switch ON
7378,86.97510051197736,Switch OFF
7379,78.15995746782677,No Change
7380,68.71552947042062,No Change
7381,58.31947556915878,Switch ON
7382,69.94056356882751,No Change
7383,75.85658919613672,Switch OFF
7384,71.35806992841496,Switch ON
7385,176.00473897998597,No Change
7386,179.38483817767985,No Change
7387,182.1447432856731,Switch OFF
7388,181.19801685355992,Switch ON
7389,183.4951111519613,Switch OFF
7390,181.7925245430311,Switch ON
7391,187.54718674636942,Switch OFF
7392,66.61352431506367,No Change
7393,64.39847362448003,Switch ON
7394,65.52805442843444,Switch OFF
7395,62.30984864869209,Switch ON
7396,62.3993112135879,No Change
7397,125.96917939096116,No Change
7398,139.5310856187157,No Change
7399,142.92648609689414,Switch OFF
7400,73.80468147951052,No Change
7401,70.63892165464091,Switch ON
7402,73.62330050488636,Switch OFF
7403,68.84452483209218,Switch ON
7404,69.30018043743972,No Change
7405,84.36824183447283,No Change
7406,87.82818695461086,No Change
7407,89.36644790330348,Switch OFF
7408,72.41368303063345,Switch ON
7409,178.73505074725503,No Change
7410,179.87850329953284,Switch OFF
7411,167.8993741119965,Switch ON
7412,180.46445092875132,Switch OFF
7413,169.40014630940135,Switch ON
7414,171.94202164417044,No Change
7415,177.17593351249448,Switch OFF
7416,67.16396287570349,Switch ON
7417,68.6632445668875,Switch OFF
7418,63.967780121853124,No Change
7419,56.86101524433295,Switch ON
7420,69.29378854762038,No Change
7421,113.20067430651409,No Change
7422,140.66281282536073,Switch OFF
7423,136.5501431963615,No Change
7424,63.724403238255945,Switch ON
7425,78.81737462968107,Switch OFF
7426,76.57198751209442,No Change
7427,68.95259843584694,No Change
7428,63.81404977267754,Switch ON
7429,74.30387538332974,No Change
7430,74.91564067539034,Switch OFF
7431,68.09932243915375,No Change
7432,65.12960103708794,Switch ON
7433,176.68408746667615,No Change
7434,185.79019051378742,No Change
7435,190.66427709843236,Switch OFF
7436,184.9611278277195,Switch ON
7437,185.4814197254188,Switch OFF
7438,184.49586073797718,No Change
7439,177.0073724762595,No Change
7440,64.0713613242466,Switch ON
